pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
380643374,lia/chc-lia-0000.smt2,7589790,PECOS-v1.10,20409,lia.sh,303282,complete,737.669,752.285,177852.0,starexec-unknown
380643375,lia/chc-lia-0000.smt2,7589790,Eldarica 2.0alpha 12GB,20382,def,303234,timeout (cpu),900.08,432.11,1.7286504E7,starexec-unknown
380643376,lia/chc-lia-0000.smt2,7589790,hoice v1.5.0,20413,hoice_default,303297,complete,0.012995,0.034394,113132.0,sat
380643377,lia/chc-lia-0000.smt2,7589790,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.01,860.812,5.9468332E7,starexec-unknown
380643378,lia/chc-lia-0000.smt2,7589790,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,complete,9.46802,4.23068,6.0189676E7,sat
380643379,lia/chc-lia-0000.smt2,7589790,rebus v1.5,20525,def,303851,complete,0.014247,0.013501,113132.0,sat
380643380,lia/chc-lia-0000.smt2,7589790,spacer,19768,def,300997,timeout (cpu),900.05,900.099,330924.0,starexec-unknown
380643381,lia/chc-lia-0000.smt2,7589790,TransfHORNer,20513,default,303835,timeout (cpu),900.05,900.636,864756.0,starexec-unknown
380643838,lia/chc-lia-0001.smt2,7589863,PECOS-v1.10,20409,lia.sh,303282,complete,0.808262,0.807662,139036.0,sat
380643839,lia/chc-lia-0001.smt2,7589863,Eldarica 2.0alpha 12GB,20382,def,303234,complete,3.60015,1.81941,1.6104292E7,sat
380643840,lia/chc-lia-0001.smt2,7589863,hoice v1.5.0,20413,hoice_default,303297,complete,0.016323,0.055251,113132.0,sat
380643841,lia/chc-lia-0001.smt2,7589863,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.07,860.823,5.9468324E7,starexec-unknown
380643842,lia/chc-lia-0001.smt2,7589863,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.02,715.888,6.0248892E7,starexec-unknown
380643843,lia/chc-lia-0001.smt2,7589863,rebus v1.5,20525,def,303851,timeout (cpu),900.06,900.214,2182356.0,starexec-unknown
380643844,lia/chc-lia-0001.smt2,7589863,spacer,19768,def,300997,timeout (cpu),900.03,900.108,707520.0,starexec-unknown
380643845,lia/chc-lia-0001.smt2,7589863,TransfHORNer,20513,default,303835,complete,300.475,300.802,945316.0,sat
380644014,lia/chc-lia-0002.smt2,7589891,PECOS-v1.10,20409,lia.sh,303282,complete,38.2563,51.6927,161440.0,sat
380644015,lia/chc-lia-0002.smt2,7589891,Eldarica 2.0alpha 12GB,20382,def,303234,complete,44.7328,14.5482,1.7156964E7,sat
380644016,lia/chc-lia-0002.smt2,7589891,hoice v1.5.0,20413,hoice_default,303297,complete,12.53,12.3249,269600.0,sat
380644017,lia/chc-lia-0002.smt2,7589891,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.0,857.23,5.9468324E7,starexec-unknown
380644018,lia/chc-lia-0002.smt2,7589891,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,complete,73.7515,37.5583,6.0226664E7,sat
380644019,lia/chc-lia-0002.smt2,7589891,rebus v1.5,20525,def,303851,complete,315.471,315.535,457900.0,sat
380644020,lia/chc-lia-0002.smt2,7589891,spacer,19768,def,300997,complete,15.656,15.6561,223068.0,sat
380644021,lia/chc-lia-0002.smt2,7589891,TransfHORNer,20513,default,303835,complete,51.3572,51.3406,900388.0,sat
380644502,lia/chc-lia-0003.smt2,7589968,PECOS-v1.10,20409,lia.sh,303282,complete,0.818013,1.00484,129260.0,sat
380644503,lia/chc-lia-0003.smt2,7589968,Eldarica 2.0alpha 12GB,20382,def,303234,complete,2.53054,1.49772,1.5713624E7,sat
380644504,lia/chc-lia-0003.smt2,7589968,hoice v1.5.0,20413,hoice_default,303297,complete,0.044357,0.062048,113132.0,sat
380644505,lia/chc-lia-0003.smt2,7589968,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.03,847.311,5.9470372E7,starexec-unknown
